kol,start,end,tweet_count,top_metric,top_value,top_tweet_url,top_tweet_text,keywords,repeated_links,event_hint
BrianFeroldi,2025-10-28 12:00:00+00:00,2025-10-28 12:00:00+00:00,3,viewCount,12592,https://x.com/BrianFeroldi/status/1983150671194141044,NPV vs IRR vs EVA https://t.co/xWKS3cjx4n,"https, join, masterclass, series, where, research, mag, scratch, npv, irr, eva, xwks",,likely event/announcement
BrianFeroldi,2025-12-16 16:00:00+00:00,2025-12-16 16:00:00+00:00,3,viewCount,157418,https://x.com/BrianFeroldi/status/2000969242649215263,10 Largest European Companies https://t.co/YPN3txX6v5,"https, largest, european, companies, ypn, txx, every, millionaire, made, million, dollars, didn",,burst but unclear topic
Callum_Thomas,2024-04-28 18:00:00+00:00,2024-04-28 18:00:00+00:00,3,viewCount,17503,https://x.com/Callum_Thomas/status/1784652673725481222,"Learnings and conclusions from this week’s charts:

1. Sentiment has undergone a partial reset.

2. Technicals remain tenuous (index remains below short-term resistance, macro/intermarket indicators not confirming bounce).

3. ex-Mag 7 Earnings are set to outpace Mag 7 later this","term, market, charts, index, below, short, not, mag, set, cap, terms, think",,likely event/announcement
Callum_Thomas,2024-05-01 19:00:00+00:00,2024-05-01 19:00:00+00:00,4,viewCount,40955,https://x.com/Callum_Thomas/status/1785750871432896789,"Even if inflation comes down to the Fed's target, the long-term rate of inflation is set to stay elevated (even drift a little higher).  

In lieu of a deflationary shock (e.g. recession), higher-for-longer must be the base case.

@topdowncharts $FED $MACRO $TNX $TLT https://t.co","even, rate, inflation, fed, higher, cuts, thing, comes, down, target, long, term",,likely event/announcement
Callum_Thomas,2024-05-02 18:00:00+00:00,2024-05-02 18:00:00+00:00,4,viewCount,4249,https://x.com/Callum_Thomas/status/1786101641646858270,"Credit Markets are snoozing

Credit Managers are losing sleep

hmmm 🤔

$MACRO $FED $HYG $JNK $LQD https://t.co/TTSgvLXKGz","taking, credit, managers, https, markets, snoozing, losing, sleep, hmmm, macro, fed, hyg",,likely event/announcement
Callum_Thomas,2024-05-06 22:00:00+00:00,2024-05-06 22:00:00+00:00,3,viewCount,14884,https://x.com/Callum_Thomas/status/1787617382829293890,"ICYMI:  Weekly ChartStorm blog post https://t.co/RhPCmAPXTI

Thanks + follow reco to chart sources
@MarketCharts 
@topdowncharts 
@murphycharts 
@TheChartReport
@MichaelAArouet
@IanRHarnett
@SarnaCapital","https, surprise, index, icymi, weekly, chartstorm, blog, post, rhpcmapxti, thanks, follow, reco",,likely event/announcement
Callum_Thomas,2024-05-14 05:00:00+00:00,2024-05-14 05:00:00+00:00,3,viewCount,9601,https://x.com/Callum_Thomas/status/1790253857790120134,"hmm, Fund Managers massively underweight Real Estate -- is the worst over for CRE? ...or still to come? https://t.co/fsSLw5hrm6","https, fund, fiscal, commodities, cash, two, hmm, managers, massively, underweight, real, estate",,burst but unclear topic
Callum_Thomas,2024-05-19 20:00:00+00:00,2024-05-19 20:00:00+00:00,4,viewCount,12911,https://x.com/Callum_Thomas/status/1792289628650951054,"Learnings and conclusions from this week’s charts:

1. Stocks and sentiment are making new all-time highs.

2. Institutional investors are getting bulled-up.

3. There are multiple echoes of the 2021 hyper-bull.

4. Lackluster earnings for ex-tech highlight rotation potential.

5","all, highs, charts, stocks, bull, earnings, rotation, potential, same, behind, itself, markets",,likely event/announcement
Callum_Thomas,2024-05-20 19:00:00+00:00,2024-05-20 20:00:00+00:00,6,viewCount,20168,https://x.com/Callum_Thomas/status/1792650877360046590,"ICYMI: Weekly S&amp;P500 ChartStorm blog post https://t.co/1qODYBWCkD

Thanks + follow reco to chart sources
@topdowncharts
@dailychartbook 
@WallStJesus
@TimmerFidelity
@MichaelNaussCMT
@MichaelAArouet
@Schuldensuehner
@callieabost
@carlquintanilla","what, https, allocation, markets, maybe, chartstorm, record, well, end, under, out, year",,burst but unclear topic
Callum_Thomas,2024-05-21 19:00:00+00:00,2024-05-21 19:00:00+00:00,3,viewCount,6313,https://x.com/Callum_Thomas/status/1792998247562105284,"Credit Spreads tend to drift Higher from about now through to October...

(but without a pressing catalyst, they probably continue to mull about at multi-year lows)","about, credit, spreads, tend, drift, higher, through, october, but, without, pressing, catalyst",,burst but unclear topic
