feature,pos_df,bg_df,pos_rate,bg_rate,lift,log_odds
executive order,2256,0,0.03585164,0.0,35851636.2541,13.5104
midterm elections,698,0,0.01109239,0.0,11092395.2409,12.3124
executive orders,657,0,0.01044084,0.0,10440836.2668,12.2513
presidential elections,467,0,0.00742142,0.0,7421416.6311,11.9072
senate seat,348,0,0.00553031,0.0,5530306.4381,11.6115
mayoral race,290,0,0.00460859,0.0,4608588.8651,11.4286
senate vote,270,0,0.00429075,0.0,4290755.2192,11.3569
sign executive,245,0,0.00389346,0.0,3893463.1619,11.2596
voter turnout,235,0,0.00373455,0.0,3734546.339,11.2178
senate votes,218,0,0.00346439,0.0,3464387.74,11.1426
presidential debate,585,1,0.00929663,1e-07,91214.7797,11.0356
senate bill,189,0,0.00300353,0.0,3003528.9535,10.9998
election president,169,0,0.00268569,0.0,2685695.3076,10.8879
presidential election,2753,8,0.0437498,8.1e-07,54121.5358,10.8845
senate race,489,1,0.00777103,1e-07,76246.2021,10.8549
vote senate,151,0,0.00239964,0.0,2399645.0263,10.7753
senate primary,144,0,0.0022884,0.0,2288403.2503,10.7279
senate races,135,0,0.00214538,0.0,2145378.1096,10.6635
presidential debates,123,0,0.00195468,0.0,1954677.9221,10.5706
president bill,121,0,0.00192289,0.0,1922894.5575,10.5542
votes senate,116,0,0.00184344,0.0,1843436.146,10.5121
election day,2356,10,0.0374408,1.01e-06,37062.6646,10.5109
general elections,114,0,0.00181165,0.0,1811652.7815,10.4947
vote president,110,0,0.00174809,0.0,1748086.0523,10.4591
government shutdowns,105,0,0.00166863,0.0,1668627.6408,10.4127
house races,105,0,0.00166863,0.0,1668627.6408,10.4127
bill senate,101,0,0.00160506,0.0,1605060.9116,10.374
senate campaign,96,0,0.0015256,0.0,1525602.5002,10.3234
runoff election,95,0,0.00150971,0.0,1509710.8179,10.313
bill congress,95,0,0.00150971,0.0,1509710.8179,10.313
campaign president,92,0,0.00146203,0.0,1462035.771,10.281
election results,1284,7,0.02040492,7.1e-07,28843.2463,10.223
issue executive,85,0,0.00135079,0.0,1350793.9949,10.2022
campaign trail,574,3,0.00912183,3e-07,30029.6357,10.1691
congress vote,76,0,0.00120777,0.0,1207768.8543,10.0909
vote candidate,75,0,0.00119188,0.0,1191877.172,10.0777
avert government,66,0,0.00104885,0.0,1048852.0314,9.9506
general election,1095,8,0.01740139,8.1e-07,21526.7286,9.9357
president election,65,0,0.00103296,0.0,1032960.3491,9.9354
primary elections,64,0,0.00101707,0.0,1017068.6668,9.92
impeach president,61,0,0.00096939,0.0,969393.6199,9.8724
policy president,57,0,0.00090583,0.0,905826.8907,9.8051
vote congress,56,0,0.00088993,0.0,889935.2084,9.7875
election night,615,5,0.00977338,5e-07,19330.2202,9.7867
mayor bill,55,0,0.00087404,0.0,874043.5261,9.7696
partial government,54,0,0.00085815,0.0,858151.8438,9.7514
midterm election,263,2,0.00417951,2e-07,20604.9213,9.7212
president campaign,52,0,0.00082637,0.0,826368.4793,9.714
senate voting,52,0,0.00082637,0.0,826368.4793,9.714
senate debate,51,0,0.00081048,0.0,810476.797,9.6948
concession speech,50,0,0.00079458,0.0,794585.1147,9.6751
bill president,50,0,0.00079458,0.0,794585.1147,9.6751
impeachment vote,50,0,0.00079458,0.0,794585.1147,9.6751
parliament elections,49,0,0.00077869,0.0,778693.4324,9.6551
senator bill,49,0,0.00077869,0.0,778693.4324,9.6551
legislation congress,45,0,0.00071513,0.0,715126.7032,9.5708
election commission,128,1,0.00203414,1e-07,19958.1133,9.5117
primary candidate,42,0,0.00066745,0.0,667451.6563,9.5025
longest government,42,0,0.00066745,0.0,667451.6563,9.5025
election candidate,40,0,0.00063567,0.0,635668.2917,9.4543
seat congress,40,0,0.00063567,0.0,635668.2917,9.4543
signs executive,194,2,0.00308299,2e-07,15199.0687,9.4164
parliament votes,38,0,0.00060388,0.0,603884.9272,9.4036
areas former,37,0,0.00058799,0.0,587993.2449,9.3773
challenges cfr,37,0,0.00058799,0.0,587993.2449,9.3773
candidate forum,37,0,0.00058799,0.0,587993.2449,9.3773
senator vote,36,0,0.0005721,0.0,572101.5626,9.3502
senate impeachment,36,0,0.0005721,0.0,572101.5626,9.3502
campaign governor,35,0,0.00055621,0.0,556209.8803,9.3224
compare candidates,34,0,0.00054032,0.0,540318.198,9.2939
guide tracks,34,0,0.00054032,0.0,540318.198,9.2939
tracks leading,34,0,0.00054032,0.0,540318.198,9.2939
candidates china,34,0,0.00054032,0.0,540318.198,9.2939
harris compare,34,0,0.00054032,0.0,540318.198,9.2939
government shutdown,2165,34,0.03440549,3.43e-06,10024.0658,9.2337
parliament vote,31,0,0.00049264,0.0,492643.1511,9.2028
candidate election,30,0,0.00047675,0.0,476751.4688,9.1706
mps vote,29,0,0.00046086,0.0,460859.7865,9.1372
congress votes,29,0,0.00046086,0.0,460859.7865,9.1372
campaign senate,28,0,0.00044497,0.0,444968.1042,9.1027
orders signed,28,0,0.00044497,0.0,444968.1042,9.1027
senate election,28,0,0.00044497,0.0,444968.1042,9.1027
vote nominee,28,0,0.00044497,0.0,444968.1042,9.1027
commission presidential,27,0,0.00042908,0.0,429076.4219,9.067
seat senate,27,0,0.00042908,0.0,429076.4219,9.067
vote counts,135,2,0.00214538,2e-07,10576.673,9.054
campaign congress,26,0,0.00041318,0.0,413184.7396,9.0299
president policy,26,0,0.00041318,0.0,413184.7396,9.0299
debate president,26,0,0.00041318,0.0,413184.7396,9.0299
senate district,26,0,0.00041318,0.0,413184.7396,9.0299
vote parliament,26,0,0.00041318,0.0,413184.7396,9.0299
senate caucus,25,0,0.00039729,0.0,397293.0573,8.9914
candidate campaign,25,0,0.00039729,0.0,397293.0573,8.9914
policies president,25,0,0.00039729,0.0,397293.0573,8.9914
turkey presidential,25,0,0.00039729,0.0,397293.0573,8.9914
low voter,24,0,0.0003814,0.0,381401.375,8.9514
nominee want,24,0,0.0003814,0.0,381401.375,8.9514
congress bill,24,0,0.0003814,0.0,381401.375,8.9514
early voting,606,12,0.00963036,1.21e-06,7945.5584,8.9509
union address,309,6,0.00491053,6.1e-07,8096.2172,8.9273
signing executive,70,1,0.00111242,1e-07,10914.5977,8.9105
votes congress,23,0,0.00036551,0.0,365509.6928,8.9097
legislation senate,23,0,0.00036551,0.0,365509.6928,8.9097
president policies,23,0,0.00036551,0.0,365509.6928,8.9097
governor bill,23,0,0.00036551,0.0,365509.6928,8.9097
candidate ballot,23,0,0.00036551,0.0,365509.6928,8.9097
tweet nominee,22,0,0.00034962,0.0,349618.0105,8.8662
issued executive,66,1,0.00104885,1e-07,10290.9069,8.852
campaigning president,21,0,0.00033373,0.0,333726.3282,8.8207
nominee voting,21,0,0.00033373,0.0,333726.3282,8.8207
president vote,21,0,0.00033373,0.0,333726.3282,8.8207
ballots government,21,0,0.00033373,0.0,333726.3282,8.8207
bills congress,21,0,0.00033373,0.0,333726.3282,8.8207
looming government,21,0,0.00033373,0.0,333726.3282,8.8207
parliament election,20,0,0.00031783,0.0,317834.6459,8.7731
bill parliament,20,0,0.00031783,0.0,317834.6459,8.7731
house policy,20,0,0.00031783,0.0,317834.6459,8.7731
twitter nationwide,20,0,0.00031783,0.0,317834.6459,8.7731
congress voting,20,0,0.00031783,0.0,317834.6459,8.7731
votes president,19,0,0.00030194,0.0,301942.9636,8.7231
election congress,19,0,0.00030194,0.0,301942.9636,8.7231
primary governor,18,0,0.00028605,0.0,286051.2813,8.6704
until midterm,18,0,0.00028605,0.0,286051.2813,8.6704
campaign candidate,18,0,0.00028605,0.0,286051.2813,8.6704
debate congress,18,0,0.00028605,0.0,286051.2813,8.6704
received kochindustries,17,0,0.00027016,0.0,270159.599,8.6148
donations koch,17,0,0.00027016,0.0,270159.599,8.6148
poll president,17,0,0.00027016,0.0,270159.599,8.6148
avert partial,17,0,0.00027016,0.0,270159.599,8.6148
