feature,pos_df,bg_df,pos_rate,bg_rate,lift,log_odds
#electionday,113,0,0.00179576,0.0,1795761.0992,10.486
#election2024,70,0,0.00111242,0.0,1112418.7605,10.0091
#vote2024,24,0,0.0003814,0.0,381401.375,8.9514
#debatenight,17,0,0.00027016,0.0,270159.599,8.6148
#earnings,15,0,0.00023838,0.0,238376.2344,8.4934
#grammys,8,0,0.00012713,0.0,127134.4583,7.8926
#election2025,7,0,0.00011124,0.0,111242.7761,7.7674
#wecantwait,5,0,7.946e-05,0.0,79459.4115,7.4572
#zohranmamdani,6,2,9.535e-05,2e-07,470.0791,6.0148
#hr40,44,23,0.00069923,2.32e-06,301.1132,5.6984
#bidenharris,6,3,9.535e-05,3e-07,313.9019,5.6783
#presidentialelection2024,6,4,9.535e-05,4e-07,235.6203,5.427
#voteearlyday,7,5,0.00011124,5e-07,220.0207,5.3695
#senate,8,6,0.00012713,6.1e-07,209.6124,5.3276
#voterswin,9,7,0.00014303,7.1e-07,202.1737,5.2957
#policy,11,13,0.00017481,1.31e-06,133.1412,4.899
#freedomtovoteact,5,6,7.946e-05,6.1e-07,131.0084,4.8922
#reparations,7,9,0.00011124,9.1e-07,122.3413,4.8229
#bolsonaro,5,7,7.946e-05,7.1e-07,112.3193,4.7491
#reparationsnow,36,53,0.0005721,5.35e-06,106.9394,4.6774
#nflvotes,16,25,0.00025427,2.52e-06,100.7398,4.6241
#governmentshutdown,5,8,7.946e-05,8.1e-07,98.2968,4.624
#sbr,10,16,0.00015892,1.61e-06,98.357,4.6074
#americastrong,6,10,9.535e-05,1.01e-06,94.3881,4.5797
#congress,23,39,0.00036551,3.94e-06,92.8422,4.5403
#nycmayor,5,9,7.946e-05,9.1e-07,87.3869,4.5127
#elections,6,11,9.535e-05,1.11e-06,85.8151,4.4888
#hr,7,13,0.00011124,1.31e-06,84.7265,4.4715
#ufchonors,53,113,0.00084226,1.14e-05,73.8501,4.3079
#cambridgechancellor2025,9,21,0.00014303,2.12e-06,67.4548,4.2426
#election2022,11,29,0.00017481,2.93e-06,59.7091,4.1173
#vote,27,71,0.00042908,7.17e-06,59.8739,4.1041
#la02,7,19,0.00011124,1.92e-06,57.9847,4.1038
#genius,9,25,0.00014303,2.52e-06,56.6663,4.072
#iraqelection,9,26,0.00014303,2.62e-06,54.4877,4.0335
#election,14,41,0.00022248,4.14e-06,53.7567,4.0079
#nm01,10,30,0.00015892,3.03e-06,52.4722,3.993
#rfkjr,16,49,0.00025427,4.95e-06,51.4078,3.9608
#rjcinvegas,5,16,7.946e-05,1.61e-06,49.1788,3.9607
#soteu,21,66,0.00033373,6.66e-06,50.096,3.9304
#forthepeopleact,17,54,0.00027016,5.45e-06,49.5643,3.9235
#endthefilibuster,7,23,0.00011124,2.32e-06,47.9047,3.9172
#republican,5,17,7.946e-05,1.72e-06,46.2876,3.9018
#roevember,5,18,7.946e-05,1.82e-06,43.7175,3.8463
#kamalaharris,8,30,0.00012713,3.03e-06,41.9778,3.7817
#midterms2022,6,23,9.535e-05,2.32e-06,41.0613,3.7741
#useyourvote,18,71,0.00028605,7.17e-06,39.916,3.7076
#sotu2024,5,21,7.946e-05,2.12e-06,37.4751,3.696
#oh11,35,139,0.00055621,1.403e-05,39.6474,3.6912
#canadastrong,10,41,0.00015892,4.14e-06,38.3977,3.685
#cftc,6,26,9.535e-05,2.62e-06,36.3252,3.654
#tx06,12,52,0.0001907,5.25e-06,36.332,3.6243
#kennedyshanahan24,39,167,0.00061978,1.685e-05,36.7718,3.6151
#debate,5,24,7.946e-05,2.42e-06,32.7926,3.5654
#kamala,5,24,7.946e-05,2.42e-06,32.7926,3.5654
#donaldtrump,8,38,0.00012713,3.83e-06,33.1427,3.5487
#republicans,8,38,0.00012713,3.83e-06,33.1427,3.5487
#euelections2024,11,52,0.00017481,5.25e-06,33.3043,3.5409
#va07,6,33,9.535e-05,3.33e-06,28.6222,3.4196
#msstaff,13,71,0.00020659,7.17e-06,28.8282,3.3924
#arizona,8,45,0.00012713,4.54e-06,27.9883,3.3817
#tx28,8,46,0.00012713,4.64e-06,27.38,3.3599
