feature,pos_df,bg_df,pos_rate,bg_rate,lift,log_odds
movie,44,0,0.00069923,0.0,699235.0209,9.5485
film,38,0,0.00060388,0.0,603884.9272,9.4036
midterm,1051,1006,0.01670216,0.00010153,164.5099,5.1197
senate,8993,12227,0.1429139,0.00123395,115.8179,4.905
shutdown,2404,2940,0.0382036,0.00029671,128.7589,4.8966
cloture,83,113,0.00131901,1.14e-05,115.6521,4.7536
election,15317,29159,0.2434129,0.00294273,82.7165,4.6914
presidential,5208,8436,0.08276388,0.00085136,97.2132,4.6625
stopgap,139,217,0.00220894,2.19e-05,100.8618,4.6173
protasiewicz,28,44,0.00044497,4.44e-06,100.1844,4.6141
mayoral,447,773,0.00710358,7.801e-05,91.0571,4.519
masto,30,55,0.00047675,5.55e-06,85.8762,4.461
ballots,630,1170,0.01001176,0.00011808,84.7896,4.4505
parliamentary,482,894,0.00765979,9.022e-05,84.8978,4.4495
impeach,273,518,0.00433843,5.228e-05,82.9882,4.4239
candidate,4214,8783,0.06696755,0.00088638,75.5514,4.3933
furloughed,40,80,0.00063567,8.07e-06,78.7242,4.3729
legislation,2332,4995,0.0370594,0.0005041,73.5163,4.3349
certifying,52,113,0.00082637,1.14e-05,72.4567,4.289
absentee,93,204,0.00147793,2.059e-05,71.7833,4.2781
lummis,60,133,0.0009535,1.342e-05,71.0328,4.2687
impeachment,810,1815,0.01287226,0.00018317,70.2745,4.2655
museveni,48,109,0.0007628,1.1e-05,69.3374,4.2456
executive,3190,7650,0.05069447,0.00077204,65.6629,4.2359
117th,23,55,0.00036551,5.55e-06,65.8384,4.2002
nominee,1244,3012,0.01976925,0.00030397,65.0362,4.1948
elections,3422,8921,0.05438134,0.00090031,60.4029,4.1561
demings,23,59,0.00036551,5.95e-06,61.3756,4.1306
118th,25,65,0.00039729,6.56e-06,60.5554,4.1162
laxalt,20,53,0.00031783,5.35e-06,59.4109,4.1003
sandu,21,56,0.00033373,5.65e-06,59.0401,4.0934
overturn,759,2028,0.01206179,0.00020467,58.9336,4.0888
berniemoreno,24,65,0.0003814,6.56e-06,58.1332,4.0762
runoff,255,712,0.00405238,7.186e-05,56.3957,4.0376
mps,602,1698,0.00956679,0.00017136,55.8274,4.0322
ballot,1373,4068,0.02181928,0.00041054,53.1472,3.995
congress,6180,19986,0.0982106,0.00201699,48.6916,3.9869
injunctions,33,99,0.00052443,9.99e-06,52.4841,3.9711
yeol,50,151,0.00079458,1.524e-05,52.1383,3.9614
certify,80,247,0.00127133,2.493e-05,50.9997,3.9373
shutdowns,136,428,0.00216127,4.319e-05,50.0353,3.9174
thune,129,407,0.00205003,4.107e-05,49.9087,3.9149
reverendwarnock,29,93,0.00046086,9.39e-06,49.0977,3.9061
maricopa,54,174,0.00085815,1.756e-05,48.8666,3.8963
gubernatorial,132,426,0.0020977,4.299e-05,48.7917,3.8922
reintroduced,29,95,0.00046086,9.59e-06,48.0642,3.8849
votes,2596,8777,0.04125481,0.00088578,46.5746,3.8824
congressman,636,2110,0.01010711,0.00021294,47.464,3.8705
turnout,408,1356,0.00648381,0.00013685,47.3793,3.8654
blasio,78,263,0.00123955,2.654e-05,46.6997,3.8495
noncitizens,20,69,0.00031783,6.96e-06,45.6364,3.8386
disqualifies,20,69,0.00031783,6.96e-06,45.6364,3.8386
voting,3440,12354,0.05466739,0.00124677,43.8472,3.8358
m2matthijs,24,83,0.0003814,8.38e-06,45.5275,3.8334
governor,2812,10153,0.04468741,0.00102464,43.6126,3.8202
dudley,67,234,0.00106474,2.362e-05,45.085,3.8149
omnibus,62,221,0.00098528,2.23e-05,44.1745,3.7949
parliament,1481,5389,0.02353558,0.00054386,43.275,3.7911
senator,2024,7466,0.03216476,0.00075347,42.6887,3.786
campaigning,258,931,0.00410005,9.396e-05,43.6372,3.7813
bill,7762,31789,0.12335124,0.00320815,38.4493,3.7778
lofgren,20,74,0.00031783,7.47e-06,42.5533,3.7691
inácio,24,89,0.0003814,8.98e-06,42.4586,3.764
caucus,481,1776,0.0076439,0.00017923,42.6473,3.7612
barnette,23,86,0.00036551,8.68e-06,42.1087,3.7564
suk,50,187,0.00079458,1.887e-05,42.1015,3.7482
vetoed,63,237,0.00100118,2.392e-05,41.8568,3.7411
vote,8141,35879,0.12937419,0.00362092,35.7297,3.7109
jamesmlindsay,197,773,0.00313066,7.801e-05,40.1303,3.6971
lyndon,31,123,0.00049264,1.241e-05,39.6839,3.6934
jair,71,285,0.00112831,2.876e-05,39.2275,3.6758
president,16443,89012,0.26130693,0.00898312,29.0887,3.6642
congresswoman,231,942,0.00367098,9.507e-05,38.6143,3.6588
appropriations,86,352,0.00136668,3.552e-05,38.4712,3.6556
mastriano,50,209,0.00079458,2.109e-05,37.67,3.6372
warnock,91,382,0.00144614,3.855e-05,37.511,3.6302
froman,45,191,0.00071513,1.928e-05,37.0978,3.6227
masoud,24,103,0.0003814,1.039e-05,36.6881,3.6187
presumptive,45,192,0.00071513,1.938e-05,36.9046,3.6175
codify,86,367,0.00136668,3.704e-05,36.8988,3.614
