rank,username,followers,eligible,eng_raw_topk,eng_norm,sim_raw,sim_norm,spam_ratio,rt_ratio,score,error
1,katyperry,85133987,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
2,taylorswift13,78858558,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
3,ladygaga,70382148,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
4,justinbieber,89838706,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
5,rihanna,96292845,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
6,selenagomez,58249650,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
7,kimkardashian,68538604,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
8,britneyspears,43101377,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
9,theellenshow,62735144,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
10,jimmyfallon,43258088,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
11,therock,15887682,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
12,chrishemsworth,8290894,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
13,zendaya,18276704,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
14,billieeilish,7737399,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
15,postmalone,6724502,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
16,mrbeast,33828407,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
17,shakira,45311447,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
18,jlo,35273852,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
19,nickiminaj,25689911,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
20,mileycyrus,40932585,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
21,harry_styles,29998221,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
22,bts_twt,46961356,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
23,blackpink,10896668,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
24,jennierubyjane,554613,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
25,beyonce,12769391,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
26,kendricklamar,12086877,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
27,drake,33771237,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
28,dualipa,10470609,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
29,dojacat,5815431,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
30,sza,8726692,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
31,oliviarodrigo,2444414,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
32,charlidamelio,4998820,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
33,khloekardashian,27720148,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
34,kourtneykardash,23566383,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
35,wwe,13222870,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
36,johncena,12703499,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
37,robertdowneyjr,16388101,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
