rank,handle,followers,non_rt_tweets_in_20,most_recent_non_rt_utc,total_like,total_reply,total_retweet,total_quote,total_engagement_raw,avg_engagement_raw,velocity_score,decayed_engagement,engagement_score,engagement_rate,score
1,JakeSucky,487475,20,2026-01-24T22:00:01+00:00,137967,1778,4364,634,144743.0,7237.15,1357.769089,119059.5,36668.289366,0.07522086,10.725246
2,JakeSucky,487475,20,2026-01-24T22:00:01+00:00,137917,1778,4364,634,144693.0,7234.65,1356.76427,119012.59,36653.510979,0.07519055,10.724842
3,Dexerto,1293363,19,2026-01-25T06:00:01+00:00,135457,1523,4456,486,141922.0,7469.58,2468.53822,131168.42,41078.503437,0.031761,10.546093
4,Dexerto,1293363,19,2026-01-25T06:00:01+00:00,135266,1521,4446,483,141716.0,7458.74,2461.999939,130968.57,41013.971281,0.03171111,10.544521
5,KarmineCorp,556177,18,2026-01-24T20:15:22+00:00,48537,617,2840,105,52099.0,2894.39,773.945873,45421.72,14168.278061,0.0254744,9.734823
6,Sentinels,1077666,20,2026-01-25T02:19:29+00:00,63137,775,1384,267,65563.0,3278.15,524.442183,48941.58,15049.583343,0.01396498,9.596734
7,LCK,348449,13,2026-01-25T08:45:10+00:00,30764,211,5972,1111,38058.0,2927.54,375.067512,32277.81,9945.889686,0.02854332,9.521275
8,RedBullGaming,387677,20,2026-01-25T08:53:43+00:00,25323,78,4645,230,30276.0,1513.8,303.645202,25571.26,7883.92877,0.02033633,9.25696
9,pokimanelol,4110702,20,2026-01-20T20:17:14+00:00,475375,18317,8993,2296,504981.0,25249.05,265.562197,43202.95,13146.77846,0.00319818,9.060001
10,pokimanelol,4110698,20,2026-01-20T20:17:14+00:00,475374,18317,8993,2296,504980.0,25249.0,265.559019,43202.31,13146.584635,0.00319814,9.059986
11,shadcn,205100,14,2026-01-25T06:00:12+00:00,20175,660,581,154,21570.0,1540.71,104.861614,14885.24,4538.97455,0.02213054,8.895901
12,Fnatic,1669738,18,2026-01-24T21:26:01+00:00,28343,337,1182,361,30223.0,1679.06,327.200953,26240.99,8101.338352,0.00485186,8.846133
13,HLTVorg,787180,19,2026-01-25T07:59:54+00:00,19335,325,287,137,20084.0,1057.05,405.898331,18963.48,5973.173536,0.00758807,8.76698
14,Halo,1832252,20,2026-01-23T19:01:01+00:00,88726,1398,8511,506,99141.0,4957.05,162.113377,24277.35,7396.684432,0.00403694,8.727292
15,MazzucatoM,247048,12,2026-01-24T07:45:26+00:00,9094,165,3339,30,12628.0,1052.33,115.079871,10679.28,3284.341255,0.01329434,8.516609
16,Ninja,6380137,20,2026-01-21T14:29:33+00:00,67265,4223,1793,773,74054.0,3702.7,107.228923,27843.57,8428.130284,0.001321,8.483683
17,Ninja,6380139,20,2026-01-21T14:29:33+00:00,67265,4223,1793,773,74054.0,3702.7,107.228923,27843.57,8428.130284,0.00132099,8.483683
18,BandaiNamcoUS,1079904,8,2026-01-25T03:05:50+00:00,11898,324,2026,179,14427.0,1803.38,305.07848,13229.1,4182.284437,0.00387283,8.315796
19,VCTPacific,134632,20,2026-01-25T09:01:01+00:00,4905,41,1227,226,6399.0,319.95,252.009481,6320.91,2072.679046,0.01539514,8.238517
20,SEGA,2260867,13,2026-01-22T20:56:25+00:00,152079,1499,28695,1304,183577.0,14121.31,85.11005,15385.52,4675.232064,0.00206789,8.205604
21,LEC,575372,17,2026-01-24T21:12:22+00:00,8376,135,327,39,8877.0,522.18,190.449074,8427.74,2661.635474,0.00462594,8.052845
