rank,username,followers,eligible,sim_raw,eng_raw,sim_norm,eng_norm,score,error
1,RyanDetrick,205297,True,0.000000,0.000000,0.000000,0.000000,0.000000,
2,SJosephBurns,716300,True,0.000000,0.000000,0.000000,0.000000,0.000000,
3,Stocktwits,1143893,True,0.000000,0.000000,0.000000,0.000000,0.000000,
4,PeterLBrandt,854050,True,0.000000,0.000000,0.000000,0.000000,0.000000,
5,alphatrends,386247,True,0.000000,0.000000,0.000000,0.000000,0.000000,
6,elonmusk,232823888,True,0.000000,0.000000,0.000000,0.000000,0.000000,
7,RampCapitalLLC,409026,True,0.000000,0.000000,0.000000,0.000000,0.000000,
8,LizAnnSonders,508500,True,0.000000,0.000000,0.000000,0.000000,0.000000,
9,morganhousel,615303,True,0.000000,0.000000,0.000000,0.000000,0.000000,
10,johnscharts,331635,True,0.000000,0.000000,0.000000,0.000000,0.000000,
11,sentimentrader,262223,True,0.000000,0.000000,0.000000,0.000000,0.000000,
12,DuneAnaIytics,217282,True,0.000000,0.000000,0.000000,0.000000,0.000000,
13,biancoresearch,525662,True,0.000000,0.000000,0.000000,0.000000,0.000000,
14,RedDogT3,237599,True,0.000000,0.000000,0.000000,0.000000,0.000000,
15,awealthofcs,306954,True,0.000000,0.000000,0.000000,0.000000,0.000000,
16,charliebilello,725269,True,0.000000,0.000000,0.000000,0.000000,0.000000,
17,DeItaone,1154510,True,0.000000,0.000000,0.000000,0.000000,0.000000,
18,TimmerFidelity,208919,True,0.000000,0.000000,0.000000,0.000000,0.000000,
19,eWhispers,548010,True,0.000000,0.000000,0.000000,0.000000,0.000000,
20,chamath,1944498,True,0.000000,0.000000,0.000000,0.000000,0.000000,
21,naval,2996411,True,0.000000,0.000000,0.000000,0.000000,0.000000,
22,howardlindzon,277563,True,0.000000,0.000000,0.000000,0.000000,0.000000,
23,Downtown,1049116,True,0.000000,0.000000,0.000000,0.000000,0.000000,
24,Ritholtz,242550,True,0.000000,0.000000,0.000000,0.000000,0.000000,
25,LynAldenContact,822014,True,0.000000,0.000000,0.000000,0.000000,0.000000,
26,StockCats_2009,207214,True,0.000000,0.000000,0.000000,0.000000,0.000000,
27,traderstewie,459452,True,0.000000,0.000000,0.000000,0.000000,0.000000,
28,TraderLion,216673,True,0.000000,0.000000,0.000000,0.000000,0.000000,
29,jasonzweigwsj,234469,True,0.000000,0.000000,0.000000,0.000000,0.000000,
30,APompliano,1846861,True,0.000000,0.000000,0.000000,0.000000,0.000000,
31,patrick_oshag,310407,True,0.000000,0.000000,0.000000,0.000000,0.000000,
32,IBDinvestors,428561,True,0.000000,0.000000,0.000000,0.000000,0.000000,
33,saxena_puru,389580,True,0.000000,0.000000,0.000000,0.000000,0.000000,
34,unusual_whales,3073199,True,0.000000,0.000000,0.000000,0.000000,0.000000,
35,bespokeinvest,257757,True,0.000000,0.000000,0.000000,0.000000,0.000000,
36,bbands,276020,True,0.000000,0.000000,0.000000,0.000000,0.000000,
37,iancassel,283053,True,0.000000,0.000000,0.000000,0.000000,0.000000,
38,fundstrat,582649,True,0.000000,0.000000,0.000000,0.000000,0.000000,
39,cvpayne,1031406,True,0.000000,0.000000,0.000000,0.000000,0.000000,
40,markminervini,662142,True,0.000000,0.000000,0.000000,0.000000,0.000000,
41,NickTimiraos,457755,True,0.000000,0.000000,0.000000,0.000000,0.000000,
42,lisaabramowicz1,426326,True,0.000000,0.000000,0.000000,0.000000,0.000000,
43,Jake__Wujastyk,380363,True,0.000000,0.000000,0.000000,0.000000,0.000000,
44,TrendSpider,570930,True,0.000000,0.000000,0.000000,0.000000,0.000000,
45,VisualCap,346126,True,0.000000,0.000000,0.000000,0.000000,0.000000,
46,JonahLupton,550123,True,0.000000,0.000000,0.000000,0.000000,0.000000,
47,BrianFeroldi,653270,True,0.000000,0.000000,0.000000,0.000000,0.000000,
48,CathieDWood,1964054,True,0.000000,0.000000,0.000000,0.000000,0.000000,
49,michaeljburry,1676840,True,0.000000,0.000000,0.000000,0.000000,0.000000,
50,GavinSBaker,218644,True,0.000000,0.000000,0.000000,0.000000,0.000000,
51,TheStalwart,427804,True,0.000000,0.000000,0.000000,0.000000,0.000000,
52,tracyalloway,206432,True,0.000000,0.000000,0.000000,0.000000,0.000000,
53,hubermanlab,1713507,True,0.000000,0.000000,0.000000,0.000000,0.000000,
54,zerohedge,2429101,True,0.000000,0.000000,0.000000,0.000000,0.000000,
55,Reuters,24847135,True,0.000000,0.000000,0.000000,0.000000,0.000000,
56,ripster47,449932,True,0.000000,0.000000,0.000000,0.000000,0.000000,
57,joerogan,15454864,True,0.000000,0.000000,0.000000,0.000000,0.000000,
58,JamesClear,1116542,True,0.000000,0.000000,0.000000,0.000000,0.000000,
59,shaneparrish,552579,True,0.000000,0.000000,0.000000,0.000000,0.000000,
60,carlquintanilla,446484,True,0.000000,0.000000,0.000000,0.000000,0.000000,
61,DOGE,4824984,True,0.000000,0.000000,0.000000,0.000000,0.000000,
62,WOLF_Financial,455336,True,0.000000,0.000000,0.000000,0.000000,0.000000,
63,StockMKTNewz,691339,True,0.000000,0.000000,0.000000,0.000000,0.000000,
64,Benzinga,321099,True,0.000000,0.000000,0.000000,0.000000,0.000000,
65,jimcramer,2349642,True,0.000000,0.000000,0.000000,0.000000,0.000000,
66,tradingview,885824,True,0.000000,0.000000,0.000000,0.000000,0.000000,
67,TheRoaringKitty,1636451,True,0.000000,0.000000,0.000000,0.000000,0.000000,
68,themotleyfool,841609,True,0.000000,0.000000,0.000000,0.000000,0.000000,
69,BillAckman,1946786,True,0.000000,0.000000,0.000000,0.000000,0.000000,
70,TrungTPhan,722855,True,0.000000,0.000000,0.000000,0.000000,0.000000,
71,JeffBezos,7035308,True,0.000000,0.000000,0.000000,0.000000,0.000000,
72,Stephanie_Link,203200,True,0.000000,0.000000,0.000000,0.000000,0.000000,
73,WSJ,20598501,True,0.000000,0.000000,0.000000,0.000000,0.000000,
74,stoolpresidente,3805245,True,0.000000,0.000000,0.000000,0.000000,0.000000,
75,realDonaldTrump,109382074,True,0.000000,0.000000,0.000000,0.000000,0.000000,
76,BobEUnlimited,203638,True,0.000000,0.000000,0.000000,0.000000,0.000000,
77,Mayhem4Markets,252079,True,0.000000,0.000000,0.000000,0.000000,0.000000,
78,chigrl,344433,True,0.000000,0.000000,0.000000,0.000000,0.000000,
79,stlouisfed,243286,True,0.000000,0.000000,0.000000,0.000000,0.000000,
80,MarketWatch,4584560,True,0.000000,0.000000,0.000000,0.000000,0.000000,
81,LiveSquawk,328404,True,0.000000,0.000000,0.000000,0.000000,0.000000,
82,lexfridman,4534128,True,0.000000,0.000000,0.000000,0.000000,0.000000,
83,bgurley,708284,True,0.000000,0.000000,0.000000,0.000000,0.000000,
84,pmarca,1975008,True,0.000000,0.000000,0.000000,0.000000,0.000000,
85,david_perell,472242,True,0.000000,0.000000,0.000000,0.000000,0.000000,
86,andrewrsorkin,982857,True,0.000000,0.000000,0.000000,0.000000,0.000000,
87,StockSavvyShay,337629,True,0.000000,0.000000,0.000000,0.000000,0.000000,
88,federalreserve,1431596,True,0.000000,0.000000,0.000000,0.000000,0.000000,
89,KobeissiLetter,1287209,True,0.000000,0.000000,0.000000,0.000000,0.000000,
90,HindenburgRes,867642,True,0.000000,0.000000,0.000000,0.000000,0.000000,
91,Mr_Derivatives,323889,True,0.000000,0.000000,0.000000,0.000000,0.000000,
92,RealVision,395765,True,0.000000,0.000000,0.000000,0.000000,0.000000,
93,DanZanger,238828,True,0.000000,0.000000,0.000000,0.000000,0.000000,
94,SahilBloom,1141598,True,0.000000,0.000000,0.000000,0.000000,0.000000,
95,RayDalio,1843325,True,0.000000,0.000000,0.000000,0.000000,0.000000,
96,AswathDamodaran,445078,True,0.000000,0.000000,0.000000,0.000000,0.000000,
97,DividendGrowth,241376,True,0.000000,0.000000,0.000000,0.000000,0.000000,
98,CitronResearch,370497,True,0.000000,0.000000,0.000000,0.000000,0.000000,
99,nikitabier,783463,True,0.000000,0.000000,0.000000,0.000000,0.000000,
100,matt_levine,319643,True,0.000000,0.000000,0.000000,0.000000,0.000000,
101,business,9731712,True,0.000000,0.000000,0.000000,0.000000,0.000000,
102,RaoulGMI,1285658,True,0.000000,0.000000,0.000000,0.000000,0.000000,
103,EricBalchunas,392771,True,0.000000,0.000000,0.000000,0.000000,0.000000,
104,herbgreenberg,350806,True,0.000000,0.000000,0.000000,0.000000,0.000000,
105,ProfFeynman,1356510,True,0.000000,0.000000,0.000000,0.000000,0.000000,
106,CheddarFlow,325496,True,0.000000,0.000000,0.000000,0.000000,0.000000,
107,bryan_johnson,825533,True,0.000000,0.000000,0.000000,0.000000,0.000000,
108,ramit,299286,True,0.000000,0.000000,0.000000,0.000000,0.000000,
109,elerianm,799345,True,0.000000,0.000000,0.000000,0.000000,0.000000,
110,PeterAttiaMD,534821,True,0.000000,0.000000,0.000000,0.000000,0.000000,
111,timothysykes,340622,True,0.000000,0.000000,0.000000,0.000000,0.000000,
112,X,60274800,True,0.000000,0.000000,0.000000,0.000000,0.000000,
113,PremiumBusiness,3953866,True,0.000000,0.000000,0.000000,0.000000,0.000000,
114,QCompounding,482691,True,0.000000,0.000000,0.000000,0.000000,0.000000,
115,xai,1872585,True,0.000000,0.000000,0.000000,0.000000,0.000000,
116,Barchart,462735,True,0.000000,0.000000,0.000000,0.000000,0.000000,
117,AdamMancini4,221546,True,0.000000,0.000000,0.000000,0.000000,0.000000,
118,dougboneparth,302171,True,0.000000,0.000000,0.000000,0.000000,0.000000,
119,dickiebush,432694,True,0.000000,0.000000,0.000000,0.000000,0.000000,
120,dmuthuk,570748,True,0.000000,0.000000,0.000000,0.000000,0.000000,
121,BillGates,62379422,True,0.000000,0.000000,0.000000,0.000000,0.000000,
122,ParikPatelCFA,759428,True,0.000000,0.000000,0.000000,0.000000,0.000000,
123,bravosresearch,298150,True,0.000000,0.000000,0.000000,0.000000,0.000000,
124,awilkinson,365568,True,0.000000,0.000000,0.000000,0.000000,0.000000,
125,nntaleb,1122186,True,0.000000,0.000000,0.000000,0.000000,0.000000,
126,MorningstarInc,234814,True,0.000000,0.000000,0.000000,0.000000,0.000000,
127,ShaanVP,457721,True,0.000000,0.000000,0.000000,0.000000,0.000000,
128,thesamparr,358810,True,0.000000,0.000000,0.000000,0.000000,0.000000,
129,BeckyQuick,365753,True,0.000000,0.000000,0.000000,0.000000,0.000000,
130,Carl_C_Icahn,457557,True,0.000000,0.000000,0.000000,0.000000,0.000000,
131,CNBC,5433022,True,0.000000,0.000000,0.000000,0.000000,0.000000,
132,CMEGroup,702358,True,0.000000,0.000000,0.000000,0.000000,0.000000,
133,LukeGromen,384022,True,0.000000,0.000000,0.000000,0.000000,0.000000,
134,markets,1990269,True,0.000000,0.000000,0.000000,0.000000,0.000000,
135,Scaramucci,1075858,True,0.000000,0.000000,0.000000,0.000000,0.000000,
136,SantiagoAuFund,328083,True,0.000000,0.000000,0.000000,0.000000,0.000000,
137,novogratz,491396,True,0.000000,0.000000,0.000000,0.000000,0.000000,
138,TaviCosta,291506,True,0.000000,0.000000,0.000000,0.000000,0.000000,
139,TheStreet,852319,True,0.000000,0.000000,0.000000,0.000000,0.000000,
140,TradingComposur,322974,True,0.000000,0.000000,0.000000,0.000000,0.000000,
141,ChrisCamillo,220432,True,0.000000,0.000000,0.000000,0.000000,0.000000,
142,financialjuice,629921,True,0.000000,0.000000,0.000000,0.000000,0.000000,
143,investingLive_,457740,True,0.000000,0.000000,0.000000,0.000000,0.000000,
144,DivesTech,232158,True,0.000000,0.000000,0.000000,0.000000,0.000000,
145,tferriss,1935736,True,0.000000,0.000000,0.000000,0.000000,0.000000,
146,RyanHoliday,776471,True,0.000000,0.000000,0.000000,0.000000,0.000000,
147,davidgoggins,992195,True,0.000000,0.000000,0.000000,0.000000,0.000000,
148,ChrisWillx,347979,True,0.000000,0.000000,0.000000,0.000000,0.000000,
149,JDVance,5109413,True,0.000000,0.000000,0.000000,0.000000,0.000000,
150,DavidSacks,1443863,True,0.000000,0.000000,0.000000,0.000000,0.000000,
151,premium,1222119,True,0.000000,0.000000,0.000000,0.000000,0.000000,
152,stocktalkweekly,367225,True,0.000000,0.000000,0.000000,0.000000,0.000000,
153,Kalshi,304913,True,0.000000,0.000000,0.000000,0.000000,0.000000,
154,TheLongInvest,250343,True,0.000000,0.000000,0.000000,0.000000,0.000000,
155,saylor,4811853,True,0.000000,0.000000,0.000000,0.000000,0.000000,
156,Support,6411616,True,0.000000,0.000000,0.000000,0.000000,0.000000,
157,Tesla,24622069,True,0.000000,0.000000,0.000000,0.000000,0.000000,
158,ACInvestorBlog,211731,True,0.000000,0.000000,0.000000,0.000000,0.000000,
159,Hugh_Henne,202241,True,0.000000,0.000000,0.000000,0.000000,0.000000,
160,PeterSchiff,1298255,True,0.000000,0.000000,0.000000,0.000000,0.000000,
161,MrBeast,33820176,True,0.000000,0.000000,0.000000,0.000000,0.000000,
162,Jason,1067235,True,0.000000,0.000000,0.000000,0.000000,0.000000,
163,Polymarket,1027859,True,0.000000,0.000000,0.000000,0.000000,0.000000,
164,The_Real_Fly,216258,True,0.000000,0.000000,0.000000,0.000000,0.000000,
165,InvestorsLive,241537,True,0.000000,0.000000,0.000000,0.000000,0.000000,
166,thejustinwelsh,559961,True,0.000000,0.000000,0.000000,0.000000,0.000000,
167,DKThomp,247968,True,0.000000,0.000000,0.000000,0.000000,0.000000,
168,cdixon,898692,True,0.000000,0.000000,0.000000,0.000000,0.000000,
169,safalniveshak,218546,True,0.000000,0.000000,0.000000,0.000000,0.000000,
170,TikTokInvestors,292386,True,0.000000,0.000000,0.000000,0.000000,0.000000,
171,tylercowen,260790,True,0.000000,0.000000,0.000000,0.000000,0.000000,
172,Cokedupoptions,216688,True,0.000000,0.000000,0.000000,0.000000,0.000000,
173,BarackObama,118840167,True,0.000000,0.000000,0.000000,0.000000,0.000000,
174,balajis,1262109,True,0.000000,0.000000,0.000000,0.000000,0.000000,
175,waitbutwhy,890510,True,0.000000,0.000000,0.000000,0.000000,0.000000,
176,benthompson,259758,True,0.000000,0.000000,0.000000,0.000000,0.000000,
177,packyM,219396,True,0.000000,0.000000,0.000000,0.000000,0.000000,
178,VCBrags,274211,True,0.000000,0.000000,0.000000,0.000000,0.000000,
179,nathanbaugh27,236730,True,0.000000,0.000000,0.000000,0.000000,0.000000,
180,NateSilver538,3017147,True,0.000000,0.000000,0.000000,0.000000,0.000000,
181,PalmerLuckey,578658,True,0.000000,0.000000,0.000000,0.000000,0.000000,
182,paulg,2115170,True,0.000000,0.000000,0.000000,0.000000,0.000000,
183,sama,4235754,True,0.000000,0.000000,0.000000,0.000000,0.000000,
184,Cboe,578455,True,0.000000,0.000000,0.000000,0.000000,0.000000,
185,barronsonline,396776,True,0.000000,0.000000,0.000000,0.000000,0.000000,
186,jonnajarian,325697,True,0.000000,0.000000,0.000000,0.000000,0.000000,
187,CNBCFastMoney,452691,True,0.000000,0.000000,0.000000,0.000000,0.000000,
188,nytimes,52720042,True,0.000000,0.000000,0.000000,0.000000,0.000000,
189,nypost,3612034,True,0.000000,0.000000,0.000000,0.000000,0.000000,
190,DiMartinoBooth,329534,True,0.000000,0.000000,0.000000,0.000000,0.000000,
191,robin_j_brooks,365999,True,0.000000,0.000000,0.000000,0.000000,0.000000,
192,davidfaber,277267,True,0.000000,0.000000,0.000000,0.000000,0.000000,
193,WSJmarkets,1018579,True,0.000000,0.000000,0.000000,0.000000,0.000000,
194,profgalloway,581375,True,0.000000,0.000000,0.000000,0.000000,0.000000,
195,KennethLFisher,426832,True,0.000000,0.000000,0.000000,0.000000,0.000000,
196,EconguyRosie,301128,True,0.000000,0.000000,0.000000,0.000000,0.000000,
197,Schuldensuehner,363395,True,0.000000,0.000000,0.000000,0.000000,0.000000,
198,ScottGottliebMD,536277,True,0.000000,0.000000,0.000000,0.000000,0.000000,
199,leadlagreport,763529,True,0.000000,0.000000,0.000000,0.000000,0.000000,
200,ScottWapnerCNBC,261475,True,0.000000,0.000000,0.000000,0.000000,0.000000,
201,GuyAdami,380064,True,0.000000,0.000000,0.000000,0.000000,0.000000,
202,pkedrosky,252083,True,0.000000,0.000000,0.000000,0.000000,0.000000,
203,StevenACohen2,307021,True,0.000000,0.000000,0.000000,0.000000,0.000000,
204,petenajarian,212987,True,0.000000,0.000000,0.000000,0.000000,0.000000,
205,SofiaHCBBG,219597,True,0.000000,0.000000,0.000000,0.000000,0.000000,
206,jaltucher,222355,True,0.000000,0.000000,0.000000,0.000000,0.000000,
207,MorningBrew,552259,True,0.000000,0.000000,0.000000,0.000000,0.000000,
208,Investingcom,1422033,True,0.000000,0.000000,0.000000,0.000000,0.000000,
209,muddywatersre,247110,True,0.000000,0.000000,0.000000,0.000000,0.000000,
210,MaxCRoser,274463,True,0.000000,0.000000,0.000000,0.000000,0.000000,
211,jburnmurdoch,477885,True,0.000000,0.000000,0.000000,0.000000,0.000000,
212,karpathy,1621840,True,0.000000,0.000000,0.000000,0.000000,0.000000,
213,buitengebieden,2922878,True,0.000000,0.000000,0.000000,0.000000,0.000000,
214,shellenberger,1421314,True,0.000000,0.000000,0.000000,0.000000,0.000000,
215,TulsiGabbard,3877067,True,0.000000,0.000000,0.000000,0.000000,0.000000,
216,ThisIsSethsBlog,724316,True,0.000000,0.000000,0.000000,0.000000,0.000000,
217,RobertKennedyJr,5768899,True,0.000000,0.000000,0.000000,0.000000,0.000000,
218,VivekGRamaswamy,3607167,True,0.000000,0.000000,0.000000,0.000000,0.000000,
219,RonDeSantis,2929710,True,0.000000,0.000000,0.000000,0.000000,0.000000,
220,typesfast,275029,True,0.000000,0.000000,0.000000,0.000000,0.000000,
221,XCreators,10909679,True,0.000000,0.000000,0.000000,0.000000,0.000000,
222,GovRonDeSantis,6016527,True,0.000000,0.000000,0.000000,0.000000,0.000000,
223,MrZackMorris,522999,True,0.000000,0.000000,0.000000,0.000000,0.000000,
224,historyinmemes,6039836,True,0.000000,0.000000,0.000000,0.000000,0.000000,
225,MarioNawfal,2870974,True,0.000000,0.000000,0.000000,0.000000,0.000000,
226,EconomyApp,230430,True,0.000000,0.000000,0.000000,0.000000,0.000000,
227,Pjmatlock,289384,True,0.000000,0.000000,0.000000,0.000000,0.000000,
228,Investopedia,201953,True,0.000000,0.000000,0.000000,0.000000,0.000000,
229,QTRResearch,289426,True,0.000000,0.000000,0.000000,0.000000,0.000000,
230,Trader_Dante,317550,True,0.000000,0.000000,0.000000,0.000000,0.000000,
231,TicTocTick,241959,True,0.000000,0.000000,0.000000,0.000000,0.000000,
232,CNBCnow,764532,True,0.000000,0.000000,0.000000,0.000000,0.000000,
233,CramerTracker,391291,True,0.000000,0.000000,0.000000,0.000000,0.000000,
234,george__mack,307264,True,0.000000,0.000000,0.000000,0.000000,0.000000,
235,MittRomney,1839539,True,0.000000,0.000000,0.000000,0.000000,0.000000,
236,AliAbdaal,356714,True,0.000000,0.000000,0.000000,0.000000,0.000000,
237,FiveThirtyEight,1109046,True,0.000000,0.000000,0.000000,0.000000,0.000000,
238,SpaceX,40748125,True,0.000000,0.000000,0.000000,0.000000,0.000000,
239,MohnishPabrai,258016,True,0.000000,0.000000,0.000000,0.000000,0.000000,
240,culturaltutor,1704182,True,0.000000,0.000000,0.000000,0.000000,0.000000,
241,greg16676935420,1347519,True,0.000000,0.000000,0.000000,0.000000,0.000000,
242,Julian,273573,True,0.000000,0.000000,0.000000,0.000000,0.000000,
243,tobi,443139,True,0.000000,0.000000,0.000000,0.000000,0.000000,
244,JoePompliano,604182,True,0.000000,0.000000,0.000000,0.000000,0.000000,
245,VitalikButerin,5877293,True,0.000000,0.000000,0.000000,0.000000,0.000000,
246,HowardMarksBook,200125,True,0.000000,0.000000,0.000000,0.000000,0.000000,
247,girdley,245010,True,0.000000,0.000000,0.000000,0.000000,0.000000,
248,alifarhat79,722788,True,0.000000,0.000000,0.000000,0.000000,0.000000,
249,jackbutcher,325367,True,0.000000,0.000000,0.000000,0.000000,0.000000,
250,visualizevalue,366163,True,0.000000,0.000000,0.000000,0.000000,0.000000,
251,GerberKawasaki,413020,True,0.000000,0.000000,0.000000,0.000000,0.000000,
252,AlexHormozi,1004560,True,0.000000,0.000000,0.000000,0.000000,0.000000,
253,GRDecter,420660,True,0.000000,0.000000,0.000000,0.000000,0.000000,
254,RobertGreene,707818,True,0.000000,0.000000,0.000000,0.000000,0.000000,
255,10kdiver,280798,True,0.000000,0.000000,0.000000,0.000000,0.000000,
256,litcapital,441689,True,0.000000,0.000000,0.000000,0.000000,0.000000,
257,Codie_Sanchez,672681,True,0.000000,0.000000,0.000000,0.000000,0.000000,
