rank,username,eligible,median_views,median_engagement,active_days,originality,rel_lex,sim_tfidf,views_norm,eng_norm,rel_norm,orig_norm,act_norm,sim_norm,score,error
1,realDonaldTrump,True,49422424.000,444896.000,8,1.0000,0.083333,0.011376,1.000000,1.000000,0.000000,1.000000,0.750000,0.027965,0.825000,
2,PeterAttiaMD,True,50195.000,449.500,20,1.0000,0.791667,0.047618,0.000694,0.000873,0.809524,1.000000,1.000000,0.331226,0.321933,
3,ScottGottliebMD,True,174005.000,245.000,10,1.0000,0.729167,0.127541,0.003200,0.000414,0.738095,1.000000,1.000000,1.000000,0.311958,
4,CDCgov,True,39046.000,241.500,17,0.9000,0.804167,0.083213,0.000468,0.000406,0.823810,0.833333,1.000000,0.629072,0.307190,
5,ashishkjha,True,17979.000,73.000,10,0.9091,0.704167,0.085687,0.000042,0.000027,0.709524,0.848485,1.000000,0.649777,0.291300,
6,mvankerkhove,True,28513.000,358.000,9,0.5882,0.958333,0.076809,0.000255,0.000668,1.000000,0.313725,0.875000,0.575488,0.269162,
7,devisridhar,True,15904.500,72.000,16,0.9500,0.387500,0.041622,0.000000,0.000025,0.347619,0.916667,1.000000,0.281052,0.243817,
8,DrOz,True,25726.000,1451.000,14,0.9375,0.287500,0.034494,0.000199,0.003125,0.233333,0.895833,1.000000,0.221410,0.225590,
9,VirusesImmunity,True,17676.500,309.000,7,0.6250,0.737500,0.069962,0.000036,0.000558,0.747619,0.375000,0.625000,0.518196,0.212323,
10,NobelPrize,True,16610.500,484.000,10,1.0000,0.125000,0.030896,0.000014,0.000951,0.047619,1.000000,1.000000,0.191303,0.207433,
11,davidasinclair,True,39738.500,1164.500,6,0.9000,0.475000,0.078415,0.000482,0.002481,0.447619,0.833333,0.500000,0.588924,0.201389,
12,WHO,True,21540.500,280.500,5,0.8000,0.537500,0.100745,0.000114,0.000493,0.519048,0.666667,0.375000,0.775776,0.182212,
13,EricTopol,True,35066.000,262.500,4,0.9000,0.495833,0.097894,0.000388,0.000453,0.471429,0.833333,0.250000,0.751917,0.179319,
14,angie_rasmussen,True,18283.000,224.000,9,0.6500,0.245833,0.037305,0.000048,0.000366,0.185714,0.416667,0.875000,0.244929,0.157151,
15,hubermanlab,True,138584.000,1184.000,6,0.5500,0.508333,0.008034,0.002483,0.002525,0.485714,0.250000,0.500000,0.000000,0.149484,
16,HubermanLab,True,138576.000,1181.500,6,0.5500,0.508333,0.008034,0.002483,0.002519,0.485714,0.250000,0.500000,0.000000,0.149482,
17,WSJ,True,33484.500,61.000,2,1.0000,0.104167,0.047907,0.000356,0.000000,0.023810,1.000000,0.000000,0.333643,0.103696,
18,AOC,True,787926.500,24652.000,7,0.4500,0.125000,0.025387,0.015626,0.055281,0.047619,0.083333,0.625000,0.145197,0.100030,
19,NickKristof,True,75918.500,1201.000,4,0.7500,0.125000,0.028899,0.001215,0.002563,0.047619,0.583333,0.250000,0.174590,0.091670,
20,JonHaidt,True,65878.000,753.000,7,0.4000,0.166667,0.032869,0.001011,0.001556,0.095238,0.000000,0.625000,0.207806,0.077606,
21,nytimes,True,114010.500,361.000,2,0.7000,0.145833,0.036189,0.001986,0.000674,0.071429,0.500000,0.000000,0.235585,0.061612,
22,UN,True,18651.500,301.500,3,0.4500,0.120833,0.026533,0.000056,0.000541,0.042857,0.083333,0.125000,0.154794,0.027444,
23,statsepi,False,0.000,0.000,0,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1000000000.000000,min_followers
24,PeterHotez,False,0.000,0.000,2,0.1500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1000000000.000000,min_original_ratio
25,EpiEllie,False,0.000,0.000,0,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1000000000.000000,min_tweets
26,juliaoftoronto,False,0.000,0.000,0,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1000000000.000000,min_followers
27,DrTomFrieden,False,4874.500,0.000,14,0.9500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1000000000.000000,min_median_views
28,DrLeanaWen,False,0.000,0.000,0,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1000000000.000000,min_tweets
29,ZubinDamania,False,0.000,0.000,0,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1000000000.000000,min_followers
30,DrEricDing,False,13519.000,0.000,8,0.6500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1000000000.000000,min_median_views
31,DrJenGunter,False,27502.500,218.500,7,0.6429,0.020833,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1000000000.000000,min_relevance
32,DrMikeVarshavski,False,0.000,0.000,0,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1000000000.000000,min_followers
33,DocBastard,False,0.000,0.000,0,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1000000000.000000,min_followers
34,DrLuckyTran,False,0.000,0.000,0,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1000000000.000000,min_followers
35,DoctorVive,False,0.000,0.000,0,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1000000000.000000,min_followers
36,DrSanjayGupta,False,0.000,0.000,0,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1000000000.000000,min_tweets
37,Atul_Gawande,False,0.000,0.000,0,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1000000000.000000,min_tweets
38,DrPaulOffit,False,0.000,0.000,0,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1000000000.000000,min_followers
39,OurWorldInData,False,5414.500,0.000,13,1.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1000000000.000000,min_median_views
40,Nature,False,8321.000,0.000,2,1.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1000000000.000000,min_median_views
41,NEJM,False,7232.000,0.000,3,0.9500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1000000000.000000,min_median_views
42,TheLancet,False,5608.500,0.000,8,0.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1000000000.000000,min_median_views
43,NIH,False,11717.500,0.000,9,0.7500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1000000000.000000,min_median_views
44,STATNews,False,1442.500,0.000,2,0.9500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1000000000.000000,min_median_views
45,sciencemagazine,False,12712.500,0.000,3,0.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1000000000.000000,min_median_views
46,MITHealth,False,0.000,0.000,0,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1000000000.000000,min_followers
47,nutrition_facts,False,2747.500,0.000,8,1.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1000000000.000000,min_median_views
48,DrAseemMalhotra,False,0.000,0.000,11,0.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1000000000.000000,min_original_ratio
49,DrMarkHyman,False,8785.000,0.000,17,1.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1000000000.000000,min_median_views
50,MichaelGreger,False,0.000,0.000,0,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1000000000.000000,min_followers
51,RhondaPatrick,False,0.000,0.000,0,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1000000000.000000,min_followers
52,DrRupy,False,0.000,0.000,0,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1000000000.000000,min_followers
53,DrJasonFung,False,11576.000,0.000,14,0.8500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1000000000.000000,min_median_views
54,DrCateShanahan,False,0.000,0.000,0,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1000000000.000000,min_followers
55,GAVI,False,660.000,0.000,4,0.6500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1000000000.000000,min_median_views
56,UNICEF,False,6964.500,0.000,10,0.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1000000000.000000,min_median_views
57,WorldBankHealth,False,0.000,0.000,0,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1000000000.000000,min_followers
58,WHO_Europe,False,556.000,0.000,5,0.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1000000000.000000,min_median_views
59,healthpolicywonk,False,0.000,0.000,0,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1000000000.000000,min_followers
60,KFF,False,489.500,0.000,5,0.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1000000000.000000,min_median_views
61,CommonwealthFnd,False,0.000,0.000,0,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1000000000.000000,min_followers
62,IHME_UW,False,0.000,0.000,0,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1000000000.000000,min_followers
63,globalhlthtwit,False,0.000,0.000,0,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1000000000.000000,min_followers
64,PublicHealth,False,664.500,0.000,12,0.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1000000000.000000,min_median_views
65,CDCDirector,False,0.000,0.000,0,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1000000000.000000,min_tweets
66,HelenBranswell,False,8867.000,0.000,12,1.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1000000000.000000,min_median_views
67,DrTedros,False,7083.000,0.000,4,0.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1000000000.000000,min_median_views
68,NYTHealth,False,0.000,0.000,0,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1000000000.000000,min_tweets
69,TheEconomist,False,18325.000,26.500,2,1.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1000000000.000000,min_relevance
70,HHSGov,False,0.000,0.000,3,0.1500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1000000000.000000,min_original_ratio
71,gatesfoundation,False,4999.000,0.000,8,1.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1000000000.000000,min_median_views
72,sciam,False,0.000,0.000,0,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1000000000.000000,min_tweets
73,kakape,False,0.000,0.000,0,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1000000000.000000,min_tweets
74,Laurie_Garrett,False,9465.000,0.000,5,0.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1000000000.000000,min_median_views
75,HarvardHealth,False,6771.000,0.000,20,1.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1000000000.000000,min_median_views
76,KFFHealthNews,False,533.000,0.000,7,0.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1000000000.000000,min_median_views
77,JAMA_current,False,3519.500,0.000,3,0.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1000000000.000000,min_median_views
78,HarvardChanSPH,False,0.000,0.000,0,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1000000000.000000,min_tweets
79,picardonhealth,False,1926.500,0.000,12,0.7500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1000000000.000000,min_median_views
80,bmj_latest,False,2977.500,0.000,3,1.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1000000000.000000,min_median_views
81,washingtonpost,False,27941.000,107.000,2,0.9474,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1000000000.000000,min_relevance
82,statnews,False,1443.000,0.000,2,0.9500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1000000000.000000,min_median_views
83,CDCemergency,False,0.000,0.000,0,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1000000000.000000,min_tweets
84,LizSzabo,False,0.000,0.000,0,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1000000000.000000,min_followers
85,Reuters,False,16747.500,14.000,1,1.0000,0.062500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1000000000.000000,min_relevance
86,CDCFlu,False,1829.000,0.000,14,1.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1000000000.000000,min_median_views
87,edyong209,False,0.000,0.000,0,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1000000000.000000,min_tweets
88,MaxCRoser,False,0.000,0.000,0,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1000000000.000000,min_tweets
89,AmerMedicalAssn,False,1014.000,0.000,4,0.9500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1000000000.000000,min_median_views
90,NPRHealth,False,0.000,0.000,0,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1000000000.000000,min_tweets
91,BBCWorld,False,64692.500,302.000,2,0.9000,0.020833,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1000000000.000000,min_relevance
92,Health_Affairs,False,487.000,0.000,6,0.9500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1000000000.000000,min_median_views
