rank,handle,followers,non_rt_tweets_in_20,most_recent_non_rt_utc,total_like,total_reply,total_retweet,total_quote,total_engagement_raw,avg_engagement_raw,velocity_score,decayed_engagement,engagement_score,engagement_rate,score
1,SecKennedy,1188058,4,2026-01-24T00:00:00+00:00,189570,16944,30476,3379,240369.0,60092.25,2419.23631,208688.67,64300.065156,0.05412199,11.019636
2,kaitlancollins,1274291,17,2026-01-24T19:16:52+00:00,33338,13550,6571,1892,55351.0,3255.94,473.684448,44343.72,13634.696515,0.01069983,9.447735
3,DrAseemMalhotra,716455,4,2026-01-22T06:39:38+00:00,12666,336,5159,131,18292.0,4573.0,77.540941,12516.58,3809.251856,0.00531681,8.34546
4,DrTomFrieden,236601,19,2026-01-23T15:53:16+00:00,8640,1329,2617,137,12723.0,669.63,65.957198,8309.58,2539.044032,0.01073133,8.272261
5,DrTomFrieden,236607,19,2026-01-23T15:53:16+00:00,8640,1329,2617,137,12723.0,669.63,65.957198,8309.58,2539.044032,0.01073106,8.272253
6,HHSGov,1659165,3,2026-01-24T22:54:03+00:00,11375,459,1347,55,13236.0,4412.0,225.835721,12009.03,3760.794604,0.00226668,8.08081
7,ddiamond,138262,10,2026-01-25T07:14:03+00:00,3826,499,1345,294,5964.0,596.4,94.167356,5135.18,1606.47241,0.01161905,7.975839
8,Winnie_Byanyima,326594,12,2026-01-25T07:44:45+00:00,5497,278,1239,18,7032.0,586.0,120.934902,6476.93,2027.733742,0.00620873,7.950779
9,atrupar,1055404,2,2026-01-25T02:09:22+00:00,6833,309,1194,40,8376.0,4188.0,266.957936,8182.41,2641.593894,0.00250292,7.863345
10,USForeignAssist,125022,6,2026-01-22T15:27:22+00:00,18623,1331,5049,689,25692.0,4282.0,17.918673,4577.87,1385.902755,0.01108527,7.858419
11,NewsfromScience,657904,19,2026-01-24T21:35:06+00:00,5165,44,653,39,5901.0,310.58,111.01729,5507.31,1729.906156,0.00262942,7.58195
12,MSF,230535,20,2026-01-25T00:30:30+00:00,2763,408,1466,103,4740.0,237.0,36.847329,3213.76,989.92018,0.00429401,7.338607
13,zoeharcombe,223325,6,2026-01-23T11:07:30+00:00,3993,182,660,29,4864.0,810.67,21.437124,3129.78,953.938989,0.00427153,7.311142
14,HelenBranswell,206742,20,2026-01-23T19:10:07+00:00,3194,173,1765,143,5275.0,263.75,17.69773,3016.32,917.28415,0.00443685,7.295133
15,UNGeneva,1144299,17,2026-01-25T05:30:05+00:00,2626,1085,1122,118,4951.0,291.24,58.409655,4321.73,1337.404711,0.00116875,7.158828
16,DrMarkHyman,360615,20,2026-01-24T12:28:00+00:00,4811,376,837,109,6133.0,306.65,20.640307,2706.97,826.540194,0.00229203,7.024209
17,drmarkhyman,360615,20,2026-01-24T12:28:00+00:00,4811,376,837,109,6133.0,306.65,20.640307,2706.97,826.540194,0.00229203,7.024209
18,PeterHotez,403370,3,2026-01-24T21:20:32+00:00,2027,5,723,27,2782.0,927.33,50.177547,2598.7,814.733952,0.00201982,6.976239
19,PeterHotez,403368,3,2026-01-24T21:20:32+00:00,2024,5,722,27,2778.0,926.0,50.094138,2594.91,813.540061,0.00201687,6.974776
20,UNHumanRights,4115295,13,2026-01-23T18:26:07+00:00,2901,1835,1329,161,6226.0,478.92,41.107567,4716.26,1443.653586,0.0003508,6.851858
21,UNEP,1315578,16,2026-01-25T05:00:13+00:00,3139,159,1370,51,4719.0,294.94,26.501054,3339.79,1020.488455,0.0007757,6.846826
22,nutrition_facts,154422,20,2026-01-24T23:00:09+00:00,1680,262,326,40,2308.0,115.4,15.278609,1644.33,503.995248,0.00326375,6.784466
23,AminaJMohammed,494749,19,2026-01-24T14:00:02+00:00,2683,398,816,44,3941.0,207.42,12.601464,1580.12,482.857312,0.00097596,6.392588
24,adamjkucharski,130147,20,2026-01-05T08:08:08+00:00,24303,484,2725,95,27607.0,1380.35,9.017342,1056.57,323.281812,0.00248397,6.392534
25,garytaubes,120286,19,2026-01-24T18:00:00+00:00,1593,48,229,30,1900.0,100.0,6.157652,939.06,286.029403,0.00237791,6.294029
26,GlobalGoalsUN,440327,16,2026-01-25T05:00:12+00:00,1106,172,483,31,1792.0,112.0,11.862679,1300.66,398.501594,0.00090501,6.235868
27,ChelseaClinton,2546266,19,2026-01-23T18:49:28+00:00,49330,38104,7266,2053,96753.0,5092.26,18.831179,2176.85,666.236061,0.00026165,6.22345
28,unfpachief,110673,19,2026-01-23T16:58:58+00:00,869,68,234,4,1175.0,61.84,4.412996,719.96,219.076931,0.0019795,6.053115
29,florian_krammer,346350,10,2026-01-24T15:41:27+00:00,965,72,120,5,1162.0,116.2,11.710192,977.52,301.452364,0.00087037,6.029366
30,unicefchief,188345,15,2026-01-23T21:57:15+00:00,793,130,262,17,1202.0,80.13,5.575298,799.77,243.833998,0.00129461,6.000428
31,ABC,17799713,20,2026-01-25T07:20:59+00:00,1190,884,499,45,2618.0,130.9,91.302769,2567.48,834.156081,4.686e-05,5.869839
32,WHOWPRO,274412,14,2026-01-25T05:13:51+00:00,694,76,375,16,1161.0,82.93,5.477912,743.39,226.852347,0.00082669,5.815678
33,ADM_Christine,222564,13,2026-01-25T00:06:45+00:00,767,98,143,16,1024.0,78.77,6.555508,690.58,211.763691,0.00095147,5.809846
34,FAO,747714,15,2026-01-24T14:35:16+00:00,1197,60,427,22,1706.0,113.73,7.46801,936.47,286.167589,0.00038272,5.747023
35,nighealthwatch,126660,17,2026-01-24T17:19:26+00:00,606,24,157,15,802.0,47.18,3.878517,548.03,167.12483,0.00131948,5.743019
36,matthewherper,109933,8,2026-01-24T19:33:14+00:00,384,73,181,55,693.0,86.62,3.725223,513.3,156.596755,0.00142447,5.720706
37,UNFCCC,969680,17,2026-01-20T10:17:57+00:00,2797,444,940,60,4241.0,249.47,3.925593,891.42,270.17314,0.00027862,5.611961
38,DrJBhattacharya,714519,1,2026-01-22T01:20:16+00:00,1000,23,54,3,1080.0,1080.0,4.851704,781.45,237.832433,0.00033286,5.576247
39,NatureMedicine,353097,20,2026-01-24T19:00:21+00:00,736,16,188,15,955.0,47.75,3.416962,569.81,173.333672,0.0004909,5.47216
40,UN_News_Centre,822131,20,2026-01-25T06:08:00+00:00,435,93,276,11,815.0,40.75,9.999417,711.7,220.509213,0.00026822,5.45898
41,cmyeaton,173537,18,2026-01-24T15:05:11+00:00,2821,312,622,52,3807.0,211.5,5.130376,444.61,136.975283,0.00078931,5.450682
42,fema,811737,4,2026-01-25T01:00:03+00:00,460,30,186,12,688.0,172.0,19.807056,667.69,214.172305,0.00026384,5.43375
43,WebMD,2828701,20,2026-01-25T00:30:06+00:00,859,18,252,13,1142.0,57.1,12.181664,960.39,296.644625,0.00010487,5.385792
44,WHOAFRO,330223,14,2026-01-24T18:30:00+00:00,367,21,185,7,580.0,41.43,5.71235,479.21,147.76112,0.00044746,5.333384
45,eu_echo,129226,16,2026-01-25T07:32:00+00:00,286,27,134,11,458.0,28.62,2.723908,337.26,103.083846,0.0007977,5.256534
46,UKHSA,469488,20,2026-01-23T10:45:07+00:00,342,74,302,16,734.0,36.7,2.524394,452.86,137.626093,0.00029314,5.157464
47,JAMAInternalMed,108621,20,2026-01-24T14:00:01+00:00,263,14,61,0,338.0,16.9,3.185954,270.11,83.263324,0.00076655,5.096723
48,HelenClarkNZ,221308,1,2026-01-24T17:13:12+00:00,253,0,86,3,342.0,342.0,6.688788,322.09,101.308185,0.00045777,5.078158
49,UNOCHA,760519,6,2026-01-24T17:55:06+00:00,293,73,157,3,526.0,87.67,5.043406,441.33,135.928435,0.00017873,5.00106
50,Chikwe_I,168093,12,2026-01-24T14:28:13+00:00,240,7,67,2,316.0,26.33,2.371187,229.14,70.400513,0.00041882,4.799761
51,picardonhealth,131564,15,2026-01-24T01:32:32+00:00,317,25,147,8,497.0,33.13,0.960653,215.55,65.338827,0.00049663,4.799301
52,StanfordMed,368380,18,2026-01-24T20:01:01+00:00,1187,87,361,35,1670.0,92.78,2.065574,259.26,79.222448,0.00021506,4.682024
53,Bob_Wachter,240534,18,2026-01-20T02:26:54+00:00,873,68,196,31,1168.0,64.89,1.012086,228.84,69.360706,0.00028836,4.677847
54,NaturePortfolio,2114023,18,2026-01-24T15:00:00+00:00,530,0,121,33,684.0,38.0,2.6286,402.35,122.546158,5.797e-05,4.59473
55,Craig_A_Spencer,223211,18,2025-12-14T04:32:54+00:00,35100,2903,6156,312,44471.0,2470.61,5.425826,188.54,60.358958,0.00027041,4.56281
56,uche_blackstock,124715,4,2026-01-24T16:38:09+00:00,147,6,28,3,184.0,46.0,2.460227,162.79,50.560001,0.0004054,4.562127
