rank,username,followers,eligible,sim_raw,eng_raw,sim_norm,eng_norm,spam_ratio,rt_ratio,score,error
1,KingJames,47670851,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,name 'TECH_KEYPHRASES' is not defined
2,StephenCurry30,16839873,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,name 'TECH_KEYPHRASES' is not defined
3,KDTrey5,19138949,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,name 'TECH_KEYPHRASES' is not defined
4,Giannis_An34,3307293,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,name 'TECH_KEYPHRASES' is not defined
5,LukaDoncic,2304246,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,name 'TECH_KEYPHRASES' is not defined
6,JoelEmbiid,2098828,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,name 'TECH_KEYPHRASES' is not defined
7,NBA,45820485,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,name 'TECH_KEYPHRASES' is not defined
8,ShamsCharania,3404916,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,name 'TECH_KEYPHRASES' is not defined
9,wojespn,6300845,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,name 'TECH_KEYPHRASES' is not defined
10,KendrickPerkins,722040,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,name 'TECH_KEYPHRASES' is not defined
11,Cristiano,105494952,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,name 'TECH_KEYPHRASES' is not defined
12,leomessi,6930,False,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,followers_below_threshold
13,neymarjr,58243617,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,name 'TECH_KEYPHRASES' is not defined
14,KMbappe,15184068,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,name 'TECH_KEYPHRASES' is not defined
15,ErlingHaaland,7033405,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,name 'TECH_KEYPHRASES' is not defined
16,premierleague,44810781,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,name 'TECH_KEYPHRASES' is not defined
17,FabrizioRomano,26846242,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,name 'TECH_KEYPHRASES' is not defined
18,UEFA,2392862,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,name 'TECH_KEYPHRASES' is not defined
19,ESPNFC,16503144,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,name 'TECH_KEYPHRASES' is not defined
20,TomBrady,3210499,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,name 'TECH_KEYPHRASES' is not defined
21,PatrickMahomes,2853674,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,name 'TECH_KEYPHRASES' is not defined
22,AaronRodgers12,4195255,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,name 'TECH_KEYPHRASES' is not defined
23,NFL,35868233,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,name 'TECH_KEYPHRASES' is not defined
24,AdamSchefter,11456576,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,name 'TECH_KEYPHRASES' is not defined
25,RapSheet,4997022,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,name 'TECH_KEYPHRASES' is not defined
26,rogerfederer,11557306,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,name 'TECH_KEYPHRASES' is not defined
27,RafaelNadal,13702060,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,name 'TECH_KEYPHRASES' is not defined
28,DjokerNole,8501298,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,name 'TECH_KEYPHRASES' is not defined
29,serenawilliams,9601302,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,name 'TECH_KEYPHRASES' is not defined
30,naomiosaka,1056054,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,name 'TECH_KEYPHRASES' is not defined
31,ATP_Tour,0,False,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,followers_below_threshold
32,LewisHamilton,8498093,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,name 'TECH_KEYPHRASES' is not defined
33,Max33Verstappen,4157815,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,name 'TECH_KEYPHRASES' is not defined
34,F1,11782547,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,name 'TECH_KEYPHRASES' is not defined
35,ScuderiaFerrari,5703835,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,name 'TECH_KEYPHRASES' is not defined
36,TheNotoriousMMA,10401614,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,name 'TECH_KEYPHRASES' is not defined
37,JonnyBones,2941481,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,name 'TECH_KEYPHRASES' is not defined
38,Stylebender,1861191,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,name 'TECH_KEYPHRASES' is not defined
39,UFC,12647206,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,name 'TECH_KEYPHRASES' is not defined
40,DanaWhite,6659427,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,name 'TECH_KEYPHRASES' is not defined
41,MLB,12527119,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,name 'TECH_KEYPHRASES' is not defined
42,ShoheiOhtani,4199,False,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,followers_below_threshold
43,JeffPassan,1427215,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,name 'TECH_KEYPHRASES' is not defined
44,NHL,6698511,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,name 'TECH_KEYPHRASES' is not defined
45,WayneGretzky,217995,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,name 'TECH_KEYPHRASES' is not defined
46,ESPN,56869157,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,name 'TECH_KEYPHRASES' is not defined
