rank,username,followers,tech_similarity_top10,engagement_top10,spam_ratio,rt_ratio,score,error
1,JeffDean,0,0.000000,0.000000,0.000,0.000,-1000000000.000000,"Found array with 0 sample(s) (shape=(0, 174)) while a minimum of 1 is required by check_pairwise_arrays."
2,ID_AA_Carmack,0,0.000000,0.000000,0.000,0.000,-1000000000.000000,"Found array with 0 sample(s) (shape=(0, 174)) while a minimum of 1 is required by check_pairwise_arrays."
3,OpenAI,0,0.000000,0.000000,0.000,0.000,-1000000000.000000,"Found array with 0 sample(s) (shape=(0, 174)) while a minimum of 1 is required by check_pairwise_arrays."
4,ilyasut,0,0.000000,0.000000,0.000,0.000,-1000000000.000000,"Found array with 0 sample(s) (shape=(0, 174)) while a minimum of 1 is required by check_pairwise_arrays."
5,sriramk,0,0.000000,0.000000,0.000,0.000,-1000000000.000000,"Found array with 0 sample(s) (shape=(0, 174)) while a minimum of 1 is required by check_pairwise_arrays."
6,elonmusk,0,0.000000,0.000000,0.000,0.000,-1000000000.000000,"Found array with 0 sample(s) (shape=(0, 174)) while a minimum of 1 is required by check_pairwise_arrays."
7,paulg,0,0.000000,0.000000,0.000,0.000,-1000000000.000000,"Found array with 0 sample(s) (shape=(0, 174)) while a minimum of 1 is required by check_pairwise_arrays."
8,sama,0,0.000000,0.000000,0.000,0.000,-1000000000.000000,"Found array with 0 sample(s) (shape=(0, 174)) while a minimum of 1 is required by check_pairwise_arrays."
9,geoffreyhinton,0,0.000000,0.000000,0.000,0.000,-1000000000.000000,"Found array with 0 sample(s) (shape=(0, 174)) while a minimum of 1 is required by check_pairwise_arrays."
10,goodfellow_ian,0,0.000000,0.000000,0.000,0.000,-1000000000.000000,"Found array with 0 sample(s) (shape=(0, 174)) while a minimum of 1 is required by check_pairwise_arrays."
11,OriolVinyalsML,0,0.000000,0.000000,0.000,0.000,-1000000000.000000,"Found array with 0 sample(s) (shape=(0, 174)) while a minimum of 1 is required by check_pairwise_arrays."
12,karpathy,0,0.000000,0.000000,0.000,0.000,-1000000000.000000,"Found array with 0 sample(s) (shape=(0, 174)) while a minimum of 1 is required by check_pairwise_arrays."
13,demishassabis,0,0.000000,0.000000,0.000,0.000,-1000000000.000000,"Found array with 0 sample(s) (shape=(0, 174)) while a minimum of 1 is required by check_pairwise_arrays."
14,shivon,0,0.000000,0.000000,0.000,0.000,-1000000000.000000,"Found array with 0 sample(s) (shape=(0, 174)) while a minimum of 1 is required by check_pairwise_arrays."
15,ylecun,0,0.000000,0.000000,0.000,0.000,-1000000000.000000,"Found array with 0 sample(s) (shape=(0, 174)) while a minimum of 1 is required by check_pairwise_arrays."
16,pabbeel,95187,0.000000,0.000000,0.000,0.000,-1000000000.000000,followers_below_200k
17,AndrewYNg,0,0.000000,0.000000,0.000,0.000,-1000000000.000000,"Found array with 0 sample(s) (shape=(0, 174)) while a minimum of 1 is required by check_pairwise_arrays."
18,sundarpichai,0,0.000000,0.000000,0.000,0.000,-1000000000.000000,"Found array with 0 sample(s) (shape=(0, 174)) while a minimum of 1 is required by check_pairwise_arrays."
19,alexandr_wang,0,0.000000,0.000000,0.000,0.000,-1000000000.000000,"Found array with 0 sample(s) (shape=(0, 174)) while a minimum of 1 is required by check_pairwise_arrays."
20,pmarca,0,0.000000,0.000000,0.000,0.000,-1000000000.000000,"Found array with 0 sample(s) (shape=(0, 174)) while a minimum of 1 is required by check_pairwise_arrays."
21,ericschmidt,0,0.000000,0.000000,0.000,0.000,-1000000000.000000,"Found array with 0 sample(s) (shape=(0, 174)) while a minimum of 1 is required by check_pairwise_arrays."
22,mustafasuleyman,0,0.000000,0.000000,0.000,0.000,-1000000000.000000,"Found array with 0 sample(s) (shape=(0, 174)) while a minimum of 1 is required by check_pairwise_arrays."
23,ClementDelangue,0,0.000000,0.000000,0.000,0.000,-1000000000.000000,"Found array with 0 sample(s) (shape=(0, 174)) while a minimum of 1 is required by check_pairwise_arrays."
24,jackclarkSF,0,0.000000,0.000000,0.000,0.000,-1000000000.000000,"Found array with 0 sample(s) (shape=(0, 174)) while a minimum of 1 is required by check_pairwise_arrays."
25,RichardSocher,0,0.000000,0.000000,0.000,0.000,-1000000000.000000,"Found array with 0 sample(s) (shape=(0, 174)) while a minimum of 1 is required by check_pairwise_arrays."
26,DrJimFan,0,0.000000,0.000000,0.000,0.000,-1000000000.000000,"Found array with 0 sample(s) (shape=(0, 174)) while a minimum of 1 is required by check_pairwise_arrays."
27,jack,0,0.000000,0.000000,0.000,0.000,-1000000000.000000,"Found array with 0 sample(s) (shape=(0, 174)) while a minimum of 1 is required by check_pairwise_arrays."
28,BarackObama,0,0.000000,0.000000,0.000,0.000,-1000000000.000000,"Found array with 0 sample(s) (shape=(0, 174)) while a minimum of 1 is required by check_pairwise_arrays."
29,reidhoffman,0,0.000000,0.000000,0.000,0.000,-1000000000.000000,"Found array with 0 sample(s) (shape=(0, 174)) while a minimum of 1 is required by check_pairwise_arrays."
30,GoogleDeepMind,0,0.000000,0.000000,0.000,0.000,-1000000000.000000,"Found array with 0 sample(s) (shape=(0, 174)) while a minimum of 1 is required by check_pairwise_arrays."
