rank,username,followers,eligible,sim_raw,eng_raw,sim_norm,eng_norm,spam_ratio,rt_ratio,score,error
1,JeffDean,402813,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
2,ID_AA_Carmack,1103125,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
3,OpenAI,4592695,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
4,ilyasut,578478,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
5,sriramk,305489,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
6,elonmusk,232936835,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
7,paulg,2118594,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
8,sama,4240670,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
9,geoffreyhinton,540211,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
10,goodfellow_ian,359296,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
11,karpathy,1626352,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
12,demishassabis,597097,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
13,shivon,212737,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
14,ylecun,1015445,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
15,AndrewYNg,1338009,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
16,sundarpichai,5695338,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
17,alexandr_wang,369216,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
18,pmarca,1982168,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
19,ericschmidt,2035953,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
20,mustafasuleyman,202811,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
21,DrJimFan,350561,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
22,jack,6330510,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
23,BarackObama,118845750,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
24,reidhoffman,775956,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
25,GoogleDeepMind,1305188,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
26,patrickc,613049,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
27,eladgil,243055,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
28,tim_cook,14512676,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
29,vkhosla,665480,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
30,satyanadella,3551336,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
31,fchollet,598434,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
32,DavidSacks,1444270,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
33,lexfridman,4537655,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
34,GoogleAI,2326635,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
35,BillGates,62378935,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
36,EMostaque,305547,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
37,drfeifei,547004,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
38,gdb,899587,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
39,erikbryn,211102,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
40,AravSrinivas,342299,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
41,MIT_CSAIL,335668,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
42,JeffBezos,7039247,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
43,jeremyphoward,269214,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
44,_akhaliq,450144,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
45,natfriedman,253639,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
46,bhorowitz,680594,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
47,balajis,1266188,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
48,Benioff,1162114,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
49,miramurati,404578,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
50,soumithchintala,277292,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
51,timoreilly,1567909,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
52,bgurley,708392,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
53,garrytan,654941,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
54,SpaceX,40759222,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
55,levie,2423877,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
56,AnthropicAI,756345,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
57,huggingface,610380,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
58,hardmaru,379282,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
59,OfficialLoganK,266437,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
60,chamath,1944977,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
61,Jason,1067880,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
62,deedydas,225149,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
63,TEDchris,1436180,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
64,Google,31603865,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
65,tobi,443221,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000000,
